               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10439,            0.025148,            0.057562,           0.0020288,             0.47162,            0.030846,           0.0063165,            0.087589,            0.016104,            0.054425,            0.070882,           0.0032353,           0.0032353
                   1,            0.074245,            0.025615,            0.042485,           0.0046897,             0.67663,            0.087181,            0.028113,            0.077972,            0.013016,            0.044183,            0.040817,           0.0065036,           0.0065036
                   2,            0.068016,            0.021271,            0.037705,             0.69471,             0.10192,             0.18278,            0.051554,            0.065382,            0.012295,            0.038721,            0.010686,           0.0097059,           0.0097059
                   3,            0.063475,            0.020463,            0.032454,             0.69659,             0.28462,             0.35297,             0.10969,            0.055555,            0.011263,            0.034451,            0.009703,            0.009703,            0.009703
                   4,            0.058262,            0.017786,            0.028911,             0.34334,             0.52965,              0.4127,             0.18825,            0.053069,            0.010285,            0.030643,            0.009703,            0.009703,            0.009703
                   5,             0.05593,            0.016859,            0.025379,             0.68102,             0.52322,             0.50301,             0.29016,            0.053331,           0.0094247,            0.027618,            0.009604,            0.009604,            0.009604
                   6,            0.053268,             0.01603,            0.022644,             0.39602,             0.55083,             0.55115,             0.28516,            0.053051,           0.0088043,            0.025226,            0.009505,            0.009505,            0.009505
                   7,            0.050387,            0.014352,            0.020208,             0.78665,             0.55854,             0.62465,              0.3007,             0.04702,           0.0086737,            0.024359,            0.009406,            0.009406,            0.009406
                   8,            0.048419,            0.013512,            0.018248,             0.83917,             0.62167,             0.63653,             0.29737,            0.044087,           0.0083704,            0.022458,            0.009307,            0.009307,            0.009307
                   9,            0.047398,            0.013419,            0.015639,             0.74975,             0.55968,             0.57673,             0.35129,             0.05049,           0.0088844,            0.021133,            0.009208,            0.009208,            0.009208
                  10,            0.044746,             0.01354,            0.014327,              0.7896,             0.57011,             0.63419,             0.32997,            0.047175,           0.0084829,            0.022153,            0.009109,            0.009109,            0.009109
