               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11392,             0.01592,            0.055632,           0.0023908,             0.50666,            0.019284,           0.0061463,            0.097158,           0.0098317,            0.048214,            0.070349,           0.0032946,           0.0032946
                   1,            0.081417,            0.014425,            0.043569,            0.046097,              0.2727,            0.070278,            0.022135,            0.080701,           0.0090324,            0.039613,            0.040283,           0.0065623,           0.0065623
                   2,            0.075982,            0.012503,            0.036207,             0.17933,             0.18962,             0.10118,            0.045958,            0.076313,            0.008451,            0.034875,            0.010152,            0.009764,            0.009764
                   3,             0.07139,            0.011174,            0.031675,             0.33657,             0.29148,             0.26082,             0.10064,            0.071378,           0.0080701,            0.035648,            0.009703,            0.009703,            0.009703
                   4,            0.066084,            0.010445,            0.029572,             0.27933,              0.3901,             0.28696,             0.13605,            0.065645,           0.0079409,            0.032111,            0.009703,            0.009703,            0.009703
                   5,            0.064145,            0.010112,            0.026654,             0.27637,             0.42381,             0.34041,             0.18933,            0.065321,           0.0075779,            0.027398,            0.009604,            0.009604,            0.009604
                   6,            0.060491,           0.0097319,            0.026141,             0.37465,             0.48024,             0.35175,             0.16395,            0.063759,           0.0071166,            0.025853,            0.009505,            0.009505,            0.009505
                   7,            0.058555,           0.0092973,            0.024265,             0.48581,             0.39395,             0.39418,             0.16703,            0.061286,           0.0070775,            0.025344,            0.009406,            0.009406,            0.009406
                   8,            0.057889,           0.0091813,              0.0229,             0.33071,             0.49184,             0.41151,             0.20649,            0.059368,           0.0070178,            0.022352,            0.009307,            0.009307,            0.009307
                   9,            0.057121,           0.0088115,            0.020577,             0.40169,               0.467,             0.40418,             0.17012,            0.058284,           0.0071465,            0.022613,            0.009208,            0.009208,            0.009208
                  10,            0.056341,           0.0085313,            0.019781,             0.32448,             0.48779,             0.37624,             0.19418,            0.061299,           0.0071285,            0.021722,            0.009109,            0.009109,            0.009109
                  11,            0.055748,           0.0089464,            0.017748,             0.41101,             0.51156,             0.45437,             0.22415,            0.059803,           0.0068808,            0.021252,             0.00901,             0.00901,             0.00901
                  12,            0.053319,           0.0085113,            0.017034,             0.50691,             0.52325,                0.48,              0.2509,            0.058023,           0.0066421,            0.015274,            0.008911,            0.008911,            0.008911
                  13,              0.0528,           0.0085574,            0.015209,             0.51755,             0.49404,              0.4908,             0.26056,             0.05719,            0.007079,            0.015628,            0.008812,            0.008812,            0.008812
                  14,            0.052512,            0.008871,              0.0141,             0.54657,             0.54552,             0.50073,             0.25218,            0.054953,           0.0068427,            0.015264,            0.008713,            0.008713,            0.008713
                  15,            0.051021,           0.0083154,            0.013876,             0.54205,             0.57447,             0.53674,             0.28332,            0.056574,           0.0068074,            0.015936,            0.008614,            0.008614,            0.008614
                  16,            0.051558,           0.0084432,            0.013322,             0.51972,             0.54024,             0.52295,             0.26058,            0.057508,           0.0068744,            0.013648,            0.008515,            0.008515,            0.008515
                  17,            0.052329,           0.0083877,            0.011457,             0.58594,             0.57976,             0.55167,             0.28041,            0.056202,           0.0066256,            0.011631,            0.008416,            0.008416,            0.008416
                  18,            0.050775,           0.0086518,             0.01183,             0.53713,             0.55933,              0.5239,             0.27956,            0.053708,           0.0067332,             0.01125,            0.008317,            0.008317,            0.008317
                  19,            0.049706,           0.0081866,            0.011093,             0.54283,             0.59286,             0.54358,             0.28085,            0.053135,           0.0064561,            0.012933,            0.008218,            0.008218,            0.008218
                  20,              0.0503,           0.0079524,           0.0091005,              0.5749,             0.60416,             0.56985,             0.31309,            0.053749,           0.0063519,            0.010437,            0.008119,            0.008119,            0.008119
                  21,            0.049609,           0.0079653,           0.0086447,             0.56645,             0.57488,             0.55538,             0.30397,            0.056189,           0.0061956,            0.010139,             0.00802,             0.00802,             0.00802
                  22,            0.048005,            0.007744,           0.0082787,             0.65902,             0.54841,             0.58701,             0.32536,            0.053632,           0.0064625,            0.010584,            0.007921,            0.007921,            0.007921
                  23,            0.048091,           0.0078814,             0.00751,             0.64445,             0.59036,             0.58828,             0.31886,            0.052966,            0.006038,           0.0088995,            0.007822,            0.007822,            0.007822
                  24,            0.046963,           0.0078508,           0.0074418,             0.71933,             0.57794,             0.59325,             0.31629,            0.052644,            0.006498,           0.0099801,            0.007723,            0.007723,            0.007723
                  25,            0.046395,           0.0075585,              0.0069,             0.66827,              0.5828,             0.56945,             0.32874,            0.053522,           0.0063504,            0.010892,            0.007624,            0.007624,            0.007624
                  26,            0.047381,           0.0077934,           0.0065293,             0.68406,              0.5822,             0.60991,             0.35875,            0.050607,             0.00628,           0.0095674,            0.007525,            0.007525,            0.007525
                  27,            0.044984,           0.0075563,           0.0063849,             0.74757,             0.59577,              0.6228,             0.32326,            0.049528,           0.0059147,           0.0072448,            0.007426,            0.007426,            0.007426
                  28,            0.045222,            0.007646,           0.0061055,             0.71297,             0.61014,             0.61611,             0.32366,            0.052455,           0.0063969,            0.009336,            0.007327,            0.007327,            0.007327
                  29,            0.045456,           0.0073863,           0.0061474,             0.65154,             0.65774,             0.65152,             0.35203,            0.049008,           0.0059782,             0.01057,            0.007228,            0.007228,            0.007228
                  30,            0.046033,           0.0076266,           0.0060586,             0.74094,             0.56408,             0.63001,             0.36081,            0.049987,           0.0063456,           0.0071928,            0.007129,            0.007129,            0.007129
                  31,            0.043937,           0.0071909,           0.0060515,             0.66722,              0.6356,             0.62933,             0.35212,            0.048026,           0.0061941,           0.0091197,             0.00703,             0.00703,             0.00703
                  32,            0.044761,           0.0076306,           0.0047082,             0.70957,             0.61091,             0.63966,             0.38582,            0.048112,           0.0060196,           0.0080606,            0.006931,            0.006931,            0.006931
                  33,            0.044346,           0.0075537,           0.0050626,             0.74728,             0.62836,             0.65495,             0.39685,             0.04931,           0.0060425,           0.0072228,            0.006832,            0.006832,            0.006832
                  34,            0.043337,           0.0074737,            0.005396,             0.75098,             0.61802,             0.64079,             0.37784,             0.04755,           0.0065381,           0.0089445,            0.006733,            0.006733,            0.006733
                  35,            0.041485,           0.0072689,           0.0047419,             0.67627,             0.64585,             0.63891,             0.35025,            0.047576,           0.0064393,           0.0072305,            0.006634,            0.006634,            0.006634
                  36,            0.041755,           0.0073851,           0.0047139,             0.71686,             0.68109,             0.67439,             0.37319,            0.050683,           0.0060287,           0.0067813,            0.006535,            0.006535,            0.006535
                  37,            0.042622,           0.0071853,           0.0046616,              0.7504,              0.6748,             0.68146,             0.40534,            0.047177,           0.0058314,           0.0051791,            0.006436,            0.006436,            0.006436
                  38,            0.041864,           0.0069656,           0.0041535,              0.7187,             0.67393,             0.67377,             0.40488,            0.047466,           0.0059402,           0.0068003,            0.006337,            0.006337,            0.006337
                  39,            0.040953,           0.0068309,           0.0043393,             0.77276,             0.65529,             0.68622,             0.43252,            0.046276,           0.0060036,           0.0074882,            0.006238,            0.006238,            0.006238
                  40,            0.040778,           0.0067959,           0.0040695,             0.75454,             0.67182,             0.66786,             0.41498,            0.046732,           0.0061359,           0.0076463,            0.006139,            0.006139,            0.006139
                  41,            0.039544,           0.0067786,           0.0034898,             0.75235,             0.68281,             0.68514,             0.39161,            0.045578,           0.0059685,           0.0065227,             0.00604,             0.00604,             0.00604
                  42,            0.039807,           0.0068755,           0.0039308,             0.70204,             0.67266,             0.68574,             0.42168,            0.044553,           0.0061003,           0.0046841,            0.005941,            0.005941,            0.005941
                  43,            0.038708,           0.0064784,           0.0033688,             0.75171,             0.70523,              0.6982,              0.4064,            0.046767,           0.0056716,           0.0057483,            0.005842,            0.005842,            0.005842
                  44,            0.039438,            0.006768,           0.0035915,             0.80087,              0.6831,             0.71564,             0.43618,            0.045356,            0.005726,           0.0065267,            0.005743,            0.005743,            0.005743
                  45,            0.039183,           0.0065845,           0.0035577,             0.79084,             0.69771,              0.7268,             0.43414,             0.04521,            0.005852,           0.0067685,            0.005644,            0.005644,            0.005644
                  46,            0.039209,           0.0064295,           0.0035139,              0.7723,             0.70987,             0.72737,             0.43937,            0.044211,           0.0055839,           0.0059281,            0.005545,            0.005545,            0.005545
                  47,            0.037528,           0.0063797,           0.0030128,             0.78102,             0.72007,             0.72791,             0.43991,            0.044358,           0.0056266,           0.0064118,            0.005446,            0.005446,            0.005446
                  48,            0.038673,           0.0066948,           0.0031156,              0.7649,             0.69596,             0.71413,             0.43383,            0.043958,           0.0056407,           0.0059842,            0.005347,            0.005347,            0.005347
                  49,            0.037285,           0.0063891,           0.0031734,             0.77269,             0.71035,             0.71291,             0.42891,            0.044581,           0.0054765,            0.006291,            0.005248,            0.005248,            0.005248
                  50,            0.036989,           0.0063894,           0.0027996,             0.79758,             0.73478,             0.73909,             0.45289,            0.041555,           0.0056222,           0.0064409,            0.005149,            0.005149,            0.005149
                  51,            0.036851,           0.0062839,           0.0031199,             0.75477,             0.74547,             0.73578,             0.44678,             0.04233,           0.0056056,           0.0066688,             0.00505,             0.00505,             0.00505
                  52,            0.037057,           0.0062984,            0.002864,             0.77347,             0.70713,             0.71961,             0.44779,            0.043064,           0.0054912,           0.0060688,            0.004951,            0.004951,            0.004951
                  53,            0.035893,           0.0061824,           0.0030926,             0.80831,             0.70845,             0.72031,             0.44132,            0.042516,           0.0056008,           0.0053939,            0.004852,            0.004852,            0.004852
                  54,             0.03692,           0.0063201,            0.002882,              0.8641,             0.68056,             0.72965,             0.46372,            0.044315,           0.0054974,           0.0051817,            0.004753,            0.004753,            0.004753
                  55,            0.035587,           0.0061023,           0.0025479,             0.86637,             0.70535,             0.75138,             0.47129,            0.042107,           0.0054101,           0.0077867,            0.004654,            0.004654,            0.004654
                  56,            0.035251,           0.0060923,           0.0025104,             0.83533,             0.72892,             0.75483,             0.47037,            0.041592,           0.0051528,           0.0045523,            0.004555,            0.004555,            0.004555
                  57,             0.03415,           0.0057306,           0.0025205,              0.7766,             0.74476,              0.7373,             0.46955,            0.041408,           0.0052283,           0.0050138,            0.004456,            0.004456,            0.004456
