               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.028162,           0.0076151,            0.013564,             0.78635,              0.7052,              0.7247,             0.47026,            0.050924,           0.0094932,            0.032236,            0.006436,            0.006436,            0.006436
                  38,            0.028015,            0.007623,            0.015532,               0.863,             0.69094,             0.73474,             0.51319,            0.050743,           0.0094906,            0.031684,            0.006337,            0.006337,            0.006337
                  39,            0.027708,           0.0077733,            0.013396,                0.89,             0.68091,             0.73919,             0.52424,            0.046854,            0.009749,            0.030877,            0.006238,            0.006238,            0.006238
                  40,            0.026046,           0.0069612,             0.01333,             0.90777,             0.68975,             0.73728,             0.50246,            0.049095,           0.0095947,            0.031475,            0.006139,            0.006139,            0.006139
                  41,            0.025417,           0.0071974,            0.013926,             0.88853,             0.70008,             0.72958,             0.49184,            0.050957,           0.0093992,            0.031466,             0.00604,             0.00604,             0.00604
                  42,            0.024875,           0.0078881,            0.012819,             0.82358,             0.70466,             0.71457,             0.50895,            0.051337,           0.0093396,            0.032095,            0.005941,            0.005941,            0.005941
                  43,            0.024867,           0.0070199,            0.012033,             0.88694,             0.68467,             0.73617,             0.50328,            0.050134,           0.0095729,            0.032572,            0.005842,            0.005842,            0.005842
                  44,            0.026047,           0.0070493,             0.01207,             0.91836,             0.69353,             0.73309,             0.51466,            0.050255,           0.0094779,            0.032668,            0.005743,            0.005743,            0.005743
                  45,             0.02432,           0.0074315,            0.010575,             0.95471,             0.68807,              0.7425,             0.54609,            0.052246,           0.0089759,            0.031581,            0.005644,            0.005644,            0.005644
                  46,            0.025357,           0.0073279,            0.010338,             0.93554,             0.68995,             0.74273,             0.56627,            0.051691,           0.0092268,            0.030844,            0.005545,            0.005545,            0.005545
                  47,            0.023846,           0.0071306,           0.0093608,             0.84802,             0.69759,             0.74148,             0.57028,            0.051594,           0.0093287,            0.030818,            0.005446,            0.005446,            0.005446
                  48,            0.024155,            0.007113,           0.0095928,             0.92669,             0.68776,             0.74319,             0.53132,              0.0513,           0.0095173,            0.031501,            0.005347,            0.005347,            0.005347
                  49,            0.024743,           0.0071274,           0.0099553,             0.94981,             0.68629,             0.74238,             0.54123,            0.052039,           0.0094003,            0.032141,            0.005248,            0.005248,            0.005248
                  50,            0.023656,           0.0071401,           0.0098548,             0.96449,             0.68206,             0.73929,             0.56013,             0.05243,            0.009573,            0.032429,            0.005149,            0.005149,            0.005149
                  51,            0.024284,           0.0066947,           0.0079653,             0.95302,             0.68476,             0.73904,             0.54776,            0.051433,           0.0094544,            0.032146,             0.00505,             0.00505,             0.00505
                  52,            0.022762,           0.0073405,            0.008123,             0.96114,             0.67927,             0.74007,             0.55702,            0.052662,           0.0096884,             0.03307,            0.004951,            0.004951,            0.004951
                  53,            0.022505,           0.0068339,            0.007923,              0.9593,             0.67938,             0.74287,              0.5525,            0.052108,           0.0094685,            0.033893,            0.004852,            0.004852,            0.004852
                  54,            0.022149,           0.0067992,           0.0066417,             0.93121,             0.68067,             0.74328,             0.57318,            0.051727,           0.0092809,            0.032956,            0.004753,            0.004753,            0.004753
                  55,            0.022509,           0.0067448,           0.0078812,             0.94616,             0.68428,             0.74159,             0.56355,            0.050248,            0.009514,            0.033233,            0.004654,            0.004654,            0.004654
                  56,            0.023425,           0.0067101,           0.0072732,             0.97391,             0.68157,             0.74118,             0.57928,            0.051741,           0.0093868,            0.032915,            0.004555,            0.004555,            0.004555
                  57,            0.022384,           0.0064356,           0.0072414,             0.97647,             0.67601,             0.74225,             0.58127,            0.051273,           0.0092175,            0.032917,            0.004456,            0.004456,            0.004456
                  58,            0.021068,           0.0066441,            0.006552,             0.97489,             0.67646,             0.74074,             0.58234,            0.051328,           0.0093006,            0.031605,            0.004357,            0.004357,            0.004357
                  59,            0.021017,           0.0067843,           0.0070851,             0.95288,             0.67358,              0.7413,             0.60169,            0.051278,           0.0092511,            0.030297,            0.004258,            0.004258,            0.004258
                  60,            0.021395,           0.0065873,           0.0070995,             0.94275,             0.67806,             0.73911,             0.58622,            0.048714,           0.0095317,            0.030633,            0.004159,            0.004159,            0.004159
                  61,            0.020168,           0.0065984,           0.0058922,             0.92784,             0.67867,             0.73632,             0.57952,            0.050918,           0.0094789,            0.030931,             0.00406,             0.00406,             0.00406
                  62,            0.020222,           0.0059227,           0.0062348,             0.94041,             0.67489,             0.73079,             0.58278,             0.05243,            0.009523,            0.031799,            0.003961,            0.003961,            0.003961
                  63,            0.020094,           0.0063125,           0.0065592,             0.95495,             0.67548,             0.73163,             0.59043,             0.05083,           0.0095981,            0.030794,            0.003862,            0.003862,            0.003862
                  64,            0.019412,           0.0062786,           0.0060029,             0.95068,             0.68105,             0.74166,             0.57641,            0.050092,            0.009555,             0.03001,            0.003763,            0.003763,            0.003763
                  65,            0.019715,           0.0066811,           0.0053343,             0.92555,             0.70136,             0.74888,             0.58224,            0.049488,           0.0092815,            0.029502,            0.003664,            0.003664,            0.003664
                  66,            0.019034,           0.0066466,           0.0044792,             0.95818,             0.68616,             0.74773,             0.57365,            0.049359,           0.0092751,            0.028992,            0.003565,            0.003565,            0.003565
                  67,            0.019314,           0.0065563,           0.0055649,             0.95339,             0.69191,             0.74642,             0.61245,            0.048819,           0.0092491,            0.029226,            0.003466,            0.003466,            0.003466
                  68,            0.018388,           0.0058841,           0.0054548,             0.93618,             0.69243,             0.74594,             0.57193,            0.050413,           0.0093211,            0.029772,            0.003367,            0.003367,            0.003367
                  69,            0.019101,           0.0060978,           0.0049767,             0.94949,             0.68712,             0.74606,             0.62578,             0.04841,           0.0092127,             0.03061,            0.003268,            0.003268,            0.003268
                  70,            0.017729,            0.006392,           0.0052671,             0.93784,             0.69097,             0.74639,             0.60301,              0.0495,           0.0092163,            0.031317,            0.003169,            0.003169,            0.003169
                  71,             0.01783,           0.0061646,           0.0052153,             0.93097,             0.69035,             0.74682,             0.61701,            0.049409,            0.009317,            0.031812,             0.00307,             0.00307,             0.00307
                  72,            0.017418,           0.0059407,           0.0052527,             0.94489,             0.68902,             0.74457,             0.61167,            0.049912,           0.0093211,            0.032171,            0.002971,            0.002971,            0.002971
                  73,            0.017817,            0.005596,           0.0049801,             0.95859,             0.68793,             0.74623,             0.60189,            0.048337,           0.0095539,            0.032869,            0.002872,            0.002872,            0.002872
                  74,            0.017112,           0.0054137,           0.0056071,             0.96039,             0.68792,              0.7489,             0.60061,            0.048932,           0.0097247,            0.032839,            0.002773,            0.002773,            0.002773
                  75,            0.017109,           0.0053848,           0.0048684,             0.95321,             0.68206,              0.7461,             0.59649,             0.04967,           0.0094369,            0.032055,            0.002674,            0.002674,            0.002674
                  76,            0.016836,           0.0058182,            0.005101,             0.94356,             0.68349,             0.74587,             0.58565,            0.050015,            0.009506,            0.030642,            0.002575,            0.002575,            0.002575
                  77,            0.015864,           0.0060061,           0.0061669,             0.95373,             0.68248,             0.74823,             0.62152,            0.048598,           0.0093367,            0.029892,            0.002476,            0.002476,            0.002476
                  78,            0.016175,           0.0055813,           0.0044521,             0.95767,              0.6888,             0.74766,             0.62335,            0.047556,           0.0094029,            0.029418,            0.002377,            0.002377,            0.002377
                  79,            0.015474,           0.0054841,           0.0038535,             0.96611,             0.68616,             0.74783,             0.59076,            0.047938,           0.0095006,            0.029559,            0.002278,            0.002278,            0.002278
                  80,            0.015644,           0.0058458,           0.0038726,              0.9674,             0.68691,             0.74819,             0.60991,             0.04737,           0.0093999,            0.029538,            0.002179,            0.002179,            0.002179
                  81,            0.015651,           0.0059342,           0.0036518,             0.97103,             0.68532,             0.74881,             0.59432,            0.047917,           0.0094874,            0.029575,             0.00208,             0.00208,             0.00208
                  82,            0.015526,           0.0060983,           0.0037811,             0.96858,             0.68268,             0.74765,             0.61897,            0.047796,           0.0094107,            0.029724,            0.001981,            0.001981,            0.001981
                  83,            0.015014,           0.0058856,           0.0041903,             0.96753,             0.68517,             0.74748,             0.61633,            0.047934,           0.0092989,            0.029953,            0.001882,            0.001882,            0.001882
                  84,            0.014685,           0.0057524,           0.0031252,             0.96878,             0.68369,             0.74736,             0.61019,            0.048283,           0.0093514,            0.030389,            0.001783,            0.001783,            0.001783
                  85,            0.014312,           0.0059965,           0.0035546,             0.96517,             0.68431,             0.74963,             0.61333,            0.048034,           0.0094668,            0.030256,            0.001684,            0.001684,            0.001684
