               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13151,            0.015596,            0.055497,          0.00041908,               0.087,          0.00065003,           0.0001626,             0.10655,           0.0041332,            0.046564,            0.070326,           0.0032971,           0.0032971
                   1,             0.09794,            0.015457,            0.041435,           0.0010912,             0.15139,           0.0035037,           0.0014803,            0.092616,           0.0046248,            0.040405,             0.04026,           0.0065648,           0.0065648
                   2,            0.092574,            0.013561,            0.036455,            0.001268,             0.14822,           0.0025219,          0.00056573,            0.098815,           0.0047815,            0.040186,            0.010129,           0.0097665,           0.0097665
                   3,            0.088778,            0.012584,             0.03207,             0.13849,             0.01777,           0.0073426,           0.0020089,            0.093361,           0.0060229,            0.038757,            0.009703,            0.009703,            0.009703
                   4,            0.081621,             0.01284,            0.029532,             0.14514,             0.06777,            0.012055,           0.0042891,             0.08528,           0.0070689,            0.036234,            0.009703,            0.009703,            0.009703
                   5,            0.078421,            0.012785,            0.026533,             0.15115,            0.036825,           0.0089449,           0.0032644,            0.089289,            0.006978,            0.048444,            0.009604,            0.009604,            0.009604
                   6,            0.074652,            0.012526,            0.025766,             0.19916,            0.082032,            0.028343,           0.0091551,            0.095302,           0.0048789,            0.054309,            0.009505,            0.009505,            0.009505
                   7,            0.074321,            0.012247,            0.023559,              0.6722,            0.010417,           0.0084303,           0.0033516,            0.091681,            0.006557,            0.051428,            0.009406,            0.009406,            0.009406
                   8,            0.072335,            0.012234,            0.021293,             0.15461,            0.020032,           0.0075991,           0.0028588,            0.094089,           0.0064179,            0.039932,            0.009307,            0.009307,            0.009307
                   9,            0.072927,            0.011926,            0.018971,             0.15006,           0.0073529,           0.0059813,           0.0028801,            0.092427,           0.0057096,            0.037285,            0.009208,            0.009208,            0.009208
                  10,            0.069947,            0.012124,            0.017989,             0.16336,            0.023744,           0.0066377,           0.0030099,            0.099669,           0.0054296,             0.03976,            0.009109,            0.009109,            0.009109
                  11,            0.070279,            0.012299,            0.016692,             0.19749,            0.052385,            0.034838,            0.012681,            0.091051,           0.0063962,            0.044318,             0.00901,             0.00901,             0.00901
                  12,            0.069348,            0.011936,            0.013751,             0.17574,            0.032353,            0.012007,           0.0044921,            0.091436,           0.0061655,            0.038159,            0.008911,            0.008911,            0.008911
                  13,            0.067314,            0.011813,            0.013118,              0.1762,            0.041968,            0.016699,             0.01003,            0.086796,           0.0060102,            0.035532,            0.008812,            0.008812,            0.008812
                  14,            0.066021,            0.011733,            0.012538,             0.17569,            0.027385,            0.013427,              0.0084,            0.087798,           0.0061469,            0.030786,            0.008713,            0.008713,            0.008713
                  15,            0.067256,            0.011744,            0.010203,             0.17266,            0.016968,           0.0070699,           0.0034227,            0.083746,           0.0068808,            0.035161,            0.008614,            0.008614,            0.008614
                  16,            0.064453,            0.011284,           0.0095326,             0.17546,            0.041968,            0.020819,           0.0077709,            0.093134,            0.006135,            0.028894,            0.008515,            0.008515,            0.008515
                  17,            0.064573,            0.011293,           0.0088152,             0.21246,               0.087,            0.029355,             0.01266,            0.085638,           0.0070004,            0.031567,            0.008416,            0.008416,            0.008416
                  18,            0.064733,            0.011013,           0.0085085,             0.16304,            0.036547,            0.017675,           0.0059889,            0.093798,           0.0063108,            0.029459,            0.008317,            0.008317,            0.008317
                  19,            0.061697,            0.010871,            0.008358,              0.2696,             0.11777,            0.036364,            0.020761,            0.093416,           0.0057935,            0.033685,            0.008218,            0.008218,            0.008218
                  20,              0.0609,            0.011272,            0.006936,             0.22206,            0.032353,            0.021929,            0.013031,            0.094991,            0.005313,            0.043115,            0.008119,            0.008119,            0.008119
                  21,            0.062283,            0.011333,           0.0065433,              0.5449,            0.055856,            0.046712,            0.014974,            0.087376,           0.0050674,            0.025174,             0.00802,             0.00802,             0.00802
                  22,            0.060114,            0.010912,           0.0070306,             0.26554,            0.071859,            0.030255,            0.014942,            0.087138,           0.0072448,            0.033138,            0.007921,            0.007921,            0.007921
                  23,            0.060599,            0.010849,           0.0058509,             0.30728,            0.016968,            0.016374,           0.0053822,            0.091078,           0.0062423,            0.034225,            0.007822,            0.007822,            0.007822
                  24,            0.060707,            0.010514,           0.0063813,             0.86876,           0.0073529,            0.010853,           0.0032321,            0.094969,           0.0053229,            0.036823,            0.007723,            0.007723,            0.007723
                  25,            0.058822,            0.010511,           0.0053784,              0.4057,            0.041968,            0.028063,           0.0072259,            0.093772,           0.0062161,            0.038826,            0.007624,            0.007624,            0.007624
                  26,            0.057799,             0.01045,           0.0051968,             0.27828,             0.10735,            0.044281,            0.028949,            0.094472,           0.0055915,             0.04481,            0.007525,            0.007525,            0.007525
                  27,            0.057433,            0.010451,           0.0048801,             0.45485,            0.057353,            0.027679,           0.0092643,            0.093018,           0.0050285,            0.033672,            0.007426,            0.007426,            0.007426
                  28,            0.057782,            0.010383,           0.0047109,             0.34759,             0.04277,            0.032007,            0.013839,            0.091394,           0.0051969,            0.035542,            0.007327,            0.007327,            0.007327
                  29,            0.055199,            0.010003,           0.0045262,             0.22024,            0.042894,            0.031668,            0.015186,            0.088466,           0.0057012,            0.047508,            0.007228,            0.007228,            0.007228
                  30,            0.055898,            0.010228,           0.0042604,             0.21205,            0.023386,            0.024784,            0.012734,            0.090185,           0.0057306,            0.041447,            0.007129,            0.007129,            0.007129
                  31,            0.054996,            0.010198,           0.0037387,             0.43252,           0.0073529,           0.0061422,           0.0016123,            0.095507,           0.0054492,            0.029375,             0.00703,             0.00703,             0.00703
                  32,            0.054723,            0.009976,           0.0039487,             0.20721,             0.04277,            0.018778,            0.008342,             0.08982,           0.0059966,            0.036849,            0.006931,            0.006931,            0.006931
                  33,            0.053803,           0.0098409,           0.0040807,             0.28119,           0.0096154,           0.0072087,           0.0028949,            0.099718,           0.0049157,            0.040601,            0.006832,            0.006832,            0.006832
                  34,            0.052634,           0.0098072,           0.0037454,             0.21799,              0.0705,             0.03734,            0.015535,            0.088699,           0.0062011,            0.035826,            0.006733,            0.006733,            0.006733
                  35,            0.052674,           0.0093177,           0.0036267,             0.45993,            0.082353,            0.045252,            0.023465,            0.088484,           0.0060171,            0.046796,            0.006634,            0.006634,            0.006634
                  36,            0.053671,           0.0093217,           0.0036503,               0.436,            0.057353,            0.047809,            0.026016,            0.093961,           0.0052667,            0.047952,            0.006535,            0.006535,            0.006535
                  37,            0.052022,           0.0092824,           0.0035083,             0.40363,            0.041968,            0.050548,            0.032377,            0.093709,           0.0059727,            0.035805,            0.006436,            0.006436,            0.006436
                  38,            0.052488,           0.0094358,           0.0033124,             0.35471,            0.016235,            0.016494,           0.0075548,            0.095094,           0.0053283,            0.040341,            0.006337,            0.006337,            0.006337
                  39,            0.051132,           0.0090934,           0.0029258,              0.2153,            0.066968,            0.031987,            0.014032,            0.088547,           0.0067939,            0.042017,            0.006238,            0.006238,            0.006238
                  40,             0.05047,            0.009019,           0.0027639,              0.4243,            0.032353,            0.016279,           0.0078492,            0.093104,            0.005789,            0.043716,            0.006139,            0.006139,            0.006139
                  41,            0.049841,           0.0091123,            0.002735,             0.16022,            0.026584,            0.019474,           0.0068741,            0.095608,           0.0056103,            0.043356,             0.00604,             0.00604,             0.00604
                  42,            0.049585,           0.0091144,           0.0029475,             0.15226,            0.032353,            0.020294,            0.008466,            0.090249,           0.0059993,            0.044214,            0.005941,            0.005941,            0.005941
                  43,            0.047117,            0.008677,           0.0028143,             0.39428,               0.025,            0.017901,           0.0082633,            0.091532,           0.0055822,            0.053046,            0.005842,            0.005842,            0.005842
