               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1003,            0.024533,            0.058191,           0.0021612,             0.50748,            0.019932,           0.0066362,            0.084676,            0.016707,            0.057141,            0.070882,           0.0032353,           0.0032353
                   1,            0.073257,            0.023169,            0.047817,           0.0036907,             0.55894,            0.027507,           0.0062809,            0.082872,            0.012621,            0.052155,            0.040817,           0.0065036,           0.0065036
                   2,            0.063854,            0.021031,            0.042162,           0.0048654,               0.748,             0.11022,            0.043998,            0.072622,            0.012171,            0.044037,            0.010686,           0.0097059,           0.0097059
                   3,            0.060901,            0.019768,            0.036012,             0.78971,                 0.2,             0.43742,             0.18851,            0.057557,            0.013591,            0.035345,            0.009703,            0.009703,            0.009703
                   4,            0.054041,            0.018396,            0.030535,             0.46339,             0.32408,             0.41754,              0.1637,            0.054241,            0.012911,            0.032516,            0.009703,            0.009703,            0.009703
                   5,            0.051872,            0.017089,            0.026846,             0.49668,             0.49808,             0.38715,             0.18229,            0.053244,            0.011592,             0.02847,            0.009604,            0.009604,            0.009604
                   6,            0.049693,             0.01606,            0.023508,             0.60991,             0.54104,             0.50811,             0.22829,            0.050581,            0.010548,            0.023582,            0.009505,            0.009505,            0.009505
                   7,            0.048527,            0.014812,            0.020807,             0.80006,             0.50895,             0.62426,              0.3505,            0.045225,            0.010468,            0.022833,            0.009406,            0.009406,            0.009406
                   8,            0.047099,            0.013636,             0.01864,             0.83685,             0.54129,             0.63881,             0.31398,            0.051238,           0.0096712,             0.02218,            0.009307,            0.009307,            0.009307
                   9,            0.044885,            0.013374,            0.016201,             0.66186,             0.55459,             0.61577,             0.28017,            0.048142,            0.010022,            0.020549,            0.009208,            0.009208,            0.009208
                  10,            0.042887,            0.013299,            0.014417,             0.80764,             0.55392,             0.65881,             0.35086,            0.044488,              0.0098,            0.019791,            0.009109,            0.009109,            0.009109
                  11,            0.042851,            0.012861,            0.014586,             0.64001,             0.65259,             0.68516,             0.37849,            0.043862,           0.0095448,            0.019522,             0.00901,             0.00901,             0.00901
                  12,            0.040816,            0.011711,            0.013483,             0.61944,             0.69304,             0.66801,             0.36917,            0.042557,           0.0094767,            0.021542,            0.008911,            0.008911,            0.008911
                  13,            0.039417,            0.011788,            0.014631,             0.56349,             0.64969,             0.65749,              0.4086,            0.041969,           0.0090766,            0.021181,            0.008812,            0.008812,            0.008812
                  14,            0.038651,            0.012101,            0.013196,             0.70775,             0.66134,             0.67075,             0.39778,            0.044164,           0.0084167,            0.019662,            0.008713,            0.008713,            0.008713
                  15,            0.038557,            0.011178,             0.01314,             0.64338,              0.6964,             0.68616,             0.41891,            0.040881,           0.0089326,             0.01848,            0.008614,            0.008614,            0.008614
                  16,            0.037058,            0.011181,             0.01198,             0.69719,             0.67657,              0.6842,             0.43743,            0.047894,           0.0089188,            0.019861,            0.008515,            0.008515,            0.008515
                  17,            0.036874,            0.011585,            0.011613,             0.83164,             0.67589,             0.69195,             0.44521,            0.043004,             0.00946,            0.018228,            0.008416,            0.008416,            0.008416
                  18,             0.03577,             0.01128,            0.011458,             0.65553,             0.69937,             0.67798,             0.41022,            0.039791,           0.0088997,            0.017377,            0.008317,            0.008317,            0.008317
                  19,             0.03504,            0.010818,            0.010583,             0.72514,               0.694,             0.69335,             0.43634,            0.040905,           0.0093012,            0.018114,            0.008218,            0.008218,            0.008218
                  20,            0.034894,            0.010733,            0.011266,             0.93851,             0.62048,             0.67626,             0.46252,            0.042817,           0.0091524,            0.027177,            0.008119,            0.008119,            0.008119
                  21,            0.035428,            0.010747,            0.010244,             0.78559,             0.68646,             0.67594,             0.40409,            0.046069,            0.008636,            0.024837,             0.00802,             0.00802,             0.00802
                  22,            0.033257,            0.011113,            0.010054,             0.76875,             0.67443,             0.69366,             0.48592,            0.042314,           0.0083771,            0.024089,            0.007921,            0.007921,            0.007921
                  23,            0.033194,            0.010822,            0.010758,             0.77682,             0.67905,             0.69944,              0.4157,            0.043366,            0.008616,            0.020171,            0.007822,            0.007822,            0.007822
                  24,            0.032927,            0.010763,           0.0093678,             0.77666,              0.6523,             0.70529,             0.45085,            0.041435,           0.0084243,            0.019572,            0.007723,            0.007723,            0.007723
                  25,              0.0317,            0.010513,            0.010831,             0.75083,             0.71191,             0.71391,             0.45617,             0.03885,           0.0082645,            0.019641,            0.007624,            0.007624,            0.007624
                  26,            0.032377,            0.010277,           0.0094789,             0.77031,             0.68722,              0.7086,             0.44411,             0.03932,            0.009182,             0.01946,            0.007525,            0.007525,            0.007525
                  27,            0.032412,            0.010509,           0.0094153,             0.80536,             0.67027,              0.7047,             0.45308,            0.038016,           0.0090575,            0.015403,            0.007426,            0.007426,            0.007426
                  28,            0.031426,            0.010214,           0.0089726,             0.79675,              0.6611,             0.69988,             0.43643,            0.040542,           0.0091972,            0.015614,            0.007327,            0.007327,            0.007327
                  29,            0.031475,            0.010378,           0.0089711,             0.70985,             0.69187,             0.70314,             0.45395,            0.039659,           0.0081444,            0.013525,            0.007228,            0.007228,            0.007228
                  30,            0.031089,            0.010355,           0.0091467,             0.79322,             0.71634,             0.71598,             0.53583,            0.035464,           0.0080748,            0.014245,            0.007129,            0.007129,            0.007129
                  31,            0.029773,             0.01019,           0.0081588,             0.80637,             0.70205,             0.71689,             0.48415,            0.035723,           0.0082612,            0.013556,             0.00703,             0.00703,             0.00703
                  32,            0.029862,           0.0095133,           0.0083187,             0.80081,             0.70646,              0.7193,             0.49003,            0.035444,           0.0084419,            0.016116,            0.006931,            0.006931,            0.006931
                  33,            0.029355,           0.0095624,           0.0077908,             0.79634,             0.70604,             0.72274,             0.50311,            0.034439,           0.0079904,            0.014065,            0.006832,            0.006832,            0.006832
                  34,            0.028673,           0.0098118,            0.008277,              0.7799,             0.66347,             0.70714,             0.48706,            0.035403,           0.0092053,            0.014843,            0.006733,            0.006733,            0.006733
                  35,            0.028595,           0.0096418,           0.0083571,             0.73482,             0.71476,              0.7118,             0.47829,            0.038441,           0.0083857,            0.015092,            0.006634,            0.006634,            0.006634
                  36,             0.02915,           0.0097055,           0.0069788,             0.73773,             0.72444,             0.72303,             0.50411,            0.035721,           0.0079174,            0.015235,            0.006535,            0.006535,            0.006535
                  37,            0.028087,           0.0096291,           0.0067841,             0.79973,             0.70567,             0.71303,             0.50172,            0.034081,           0.0082116,            0.014119,            0.006436,            0.006436,            0.006436
                  38,            0.027712,            0.009514,           0.0076859,             0.82171,             0.67355,             0.70573,             0.49319,            0.037034,           0.0085864,            0.014091,            0.006337,            0.006337,            0.006337
                  39,            0.027914,           0.0092348,           0.0074822,             0.83815,             0.69013,             0.72363,             0.50889,            0.035648,              0.0084,            0.014551,            0.006238,            0.006238,            0.006238
                  40,             0.02668,           0.0097901,           0.0080384,             0.82881,             0.68052,             0.72272,             0.51308,             0.03483,           0.0083842,            0.014931,            0.006139,            0.006139,            0.006139
                  41,            0.026798,            0.010197,           0.0071391,             0.89725,              0.6565,             0.70638,             0.51706,            0.035367,           0.0087113,            0.014835,             0.00604,             0.00604,             0.00604
                  42,            0.026745,           0.0093631,           0.0073054,             0.89653,             0.66304,             0.70845,             0.48314,            0.037218,           0.0088491,            0.015126,            0.005941,            0.005941,            0.005941
                  43,            0.026793,           0.0094156,           0.0064959,             0.90035,             0.66811,             0.69909,             0.50798,            0.037761,           0.0087805,            0.018291,            0.005842,            0.005842,            0.005842
                  44,            0.026288,           0.0094411,           0.0064836,             0.94707,             0.66147,             0.70453,             0.54445,            0.036315,            0.008419,            0.016547,            0.005743,            0.005743,            0.005743
                  45,            0.026365,           0.0091837,           0.0058613,             0.92484,             0.66473,              0.7017,             0.54663,            0.034628,            0.009099,            0.015609,            0.005644,            0.005644,            0.005644
                  46,            0.025749,           0.0089086,           0.0060128,              0.9574,             0.66337,             0.71054,             0.51889,            0.036753,           0.0091429,            0.014671,            0.005545,            0.005545,            0.005545
                  47,            0.025587,            0.008948,           0.0057179,             0.88121,             0.69713,             0.71511,             0.54009,            0.034193,           0.0088096,            0.013342,            0.005446,            0.005446,            0.005446
                  48,            0.024882,           0.0094304,           0.0055764,             0.92756,             0.68314,             0.71627,             0.53188,            0.033419,           0.0087991,            0.014285,            0.005347,            0.005347,            0.005347
                  49,             0.02542,           0.0089052,           0.0049602,             0.95649,             0.66341,             0.71297,             0.52108,            0.034176,           0.0087872,            0.012983,            0.005248,            0.005248,            0.005248
                  50,            0.024161,           0.0090509,           0.0048388,             0.94349,              0.6648,             0.71094,             0.54478,            0.034126,           0.0087905,             0.01087,            0.005149,            0.005149,            0.005149
                  51,            0.024804,             0.00925,           0.0052821,             0.96287,             0.66334,             0.70708,             0.50379,            0.035257,           0.0090981,            0.014781,             0.00505,             0.00505,             0.00505
                  52,            0.024017,           0.0090642,           0.0045998,             0.97502,             0.66335,             0.70621,              0.5357,            0.034539,           0.0089455,            0.012411,            0.004951,            0.004951,            0.004951
                  53,            0.024326,           0.0086109,           0.0054805,              0.9527,              0.6641,             0.70703,             0.55829,            0.035058,           0.0086851,             0.01524,            0.004852,            0.004852,            0.004852
                  54,            0.023756,           0.0090921,           0.0047044,             0.95023,             0.66154,             0.70873,              0.5481,            0.035071,           0.0086164,            0.014227,            0.004753,            0.004753,            0.004753
                  55,            0.024011,           0.0090194,           0.0052372,             0.95911,             0.66639,             0.70747,             0.54452,            0.035303,           0.0084023,             0.01535,            0.004654,            0.004654,            0.004654
                  56,            0.023811,           0.0083965,           0.0061767,             0.90797,             0.70582,             0.72396,             0.53896,            0.036399,           0.0079608,            0.014251,            0.004555,            0.004555,            0.004555
                  57,            0.023571,           0.0087657,           0.0045772,             0.96345,             0.66631,             0.72066,             0.51387,            0.037531,            0.008234,            0.015886,            0.004456,            0.004456,            0.004456
                  58,            0.023348,           0.0091165,           0.0041002,              0.9636,             0.67077,             0.71671,             0.52537,             0.03521,           0.0085497,            0.014625,            0.004357,            0.004357,            0.004357
                  59,            0.023172,           0.0089963,           0.0039779,             0.97347,             0.66706,             0.71257,             0.53196,            0.036027,             0.00842,             0.01426,            0.004258,            0.004258,            0.004258
                  60,            0.023258,           0.0089309,           0.0046919,             0.91121,              0.6899,             0.72474,             0.56478,            0.033288,           0.0080247,             0.01141,            0.004159,            0.004159,            0.004159
                  61,            0.021968,           0.0086278,           0.0040106,             0.96567,              0.6632,             0.72426,             0.57333,            0.033257,           0.0081463,            0.012883,             0.00406,             0.00406,             0.00406
                  62,            0.021719,           0.0083411,           0.0041983,             0.96852,             0.65989,             0.72443,             0.56367,            0.032584,           0.0086622,             0.01456,            0.003961,            0.003961,            0.003961
                  63,             0.02173,            0.008059,           0.0038983,              0.9773,             0.66169,             0.70924,              0.5643,             0.03284,           0.0088396,             0.01639,            0.003862,            0.003862,            0.003862
                  64,            0.021698,            0.008415,           0.0047778,             0.93501,             0.68335,             0.71138,             0.55314,            0.032747,           0.0087566,            0.015253,            0.003763,            0.003763,            0.003763
                  65,            0.021547,           0.0087341,           0.0038539,             0.97174,             0.66665,             0.71873,             0.57509,            0.031787,           0.0086079,            0.013044,            0.003664,            0.003664,            0.003664
                  66,            0.020885,           0.0082506,           0.0038323,             0.97267,               0.661,             0.72192,             0.55837,            0.033181,           0.0085711,            0.012513,            0.003565,            0.003565,            0.003565
                  67,            0.020984,           0.0080438,           0.0032836,             0.97564,             0.66629,             0.72199,             0.56616,            0.032812,           0.0084305,            0.011958,            0.003466,            0.003466,            0.003466
                  68,            0.020795,           0.0079368,           0.0034244,             0.96945,             0.66258,             0.72031,             0.56705,            0.033388,           0.0084548,            0.010556,            0.003367,            0.003367,            0.003367
                  69,             0.02042,           0.0079278,           0.0040329,             0.97318,             0.66262,             0.71537,             0.55229,             0.03267,           0.0087543,            0.010743,            0.003268,            0.003268,            0.003268
                  70,            0.019956,           0.0082077,           0.0034029,             0.97819,             0.66266,             0.71944,             0.56211,            0.032039,           0.0088234,            0.011148,            0.003169,            0.003169,            0.003169
                  71,            0.020451,           0.0079433,           0.0034978,             0.97074,              0.6637,             0.72032,             0.54778,            0.032882,            0.008698,             0.01245,             0.00307,             0.00307,             0.00307
                  72,            0.019724,           0.0079365,           0.0033037,             0.97737,              0.6622,             0.71876,             0.53443,            0.033477,           0.0090299,            0.012215,            0.002971,            0.002971,            0.002971
                  73,            0.019563,           0.0080554,            0.003341,             0.97815,             0.66266,             0.71727,             0.56133,            0.033681,           0.0086508,            0.012328,            0.002872,            0.002872,            0.002872
                  74,             0.01968,           0.0081189,            0.003216,             0.97001,             0.66462,             0.72475,             0.57358,            0.031139,           0.0083709,            0.012383,            0.002773,            0.002773,            0.002773
                  75,            0.019198,           0.0078533,           0.0033911,             0.97376,             0.66219,               0.719,             0.57478,            0.031909,           0.0086954,             0.01274,            0.002674,            0.002674,            0.002674
                  76,            0.019065,           0.0080204,           0.0029101,             0.97972,             0.66151,             0.71484,             0.57372,            0.032483,            0.008801,            0.012913,            0.002575,            0.002575,            0.002575
                  77,            0.018442,           0.0079147,           0.0028321,             0.97687,             0.66291,             0.72102,             0.58717,            0.031404,           0.0083454,            0.011715,            0.002476,            0.002476,            0.002476
                  78,            0.019001,           0.0080487,           0.0035892,             0.97419,              0.6634,             0.71806,             0.59156,            0.030775,           0.0083983,            0.011551,            0.002377,            0.002377,            0.002377
                  79,            0.018247,           0.0081914,           0.0035332,             0.97163,             0.66439,             0.71247,             0.57701,            0.030198,           0.0089021,            0.012127,            0.002278,            0.002278,            0.002278
                  80,            0.017731,           0.0072527,           0.0027725,             0.96224,             0.66384,             0.71572,             0.58803,            0.029347,           0.0088887,            0.011447,            0.002179,            0.002179,            0.002179
                  81,            0.018521,           0.0080284,             0.00257,             0.97056,             0.66342,             0.71949,             0.56511,            0.032909,           0.0087447,            0.011455,             0.00208,             0.00208,             0.00208
                  82,            0.018182,           0.0077555,           0.0038858,             0.96995,             0.66236,             0.71637,             0.58139,            0.031348,           0.0090275,            0.011708,            0.001981,            0.001981,            0.001981
