               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028661,           0.0078649,            0.016472,             0.75193,             0.68802,             0.72192,             0.50916,            0.051638,            0.009334,            0.031524,            0.006535,            0.006535,            0.006535
                  37,            0.026818,           0.0076318,            0.014135,             0.82806,             0.67071,             0.72262,             0.50636,            0.050923,           0.0092875,            0.030621,            0.006436,            0.006436,            0.006436
                  38,            0.027527,           0.0075709,            0.015377,             0.74367,             0.69401,             0.71778,             0.52369,            0.052744,            0.008862,            0.030686,            0.006337,            0.006337,            0.006337
                  39,            0.026019,           0.0076701,            0.013876,             0.86793,             0.68842,             0.73549,             0.53439,            0.051512,           0.0090849,            0.032465,            0.006238,            0.006238,            0.006238
                  40,            0.026192,           0.0069613,            0.013546,             0.83842,             0.67898,             0.70547,             0.50694,            0.053472,           0.0092196,            0.033226,            0.006139,            0.006139,            0.006139
                  41,             0.02665,           0.0072351,             0.01426,             0.91856,             0.67887,             0.73506,             0.52053,            0.053523,           0.0089491,            0.032451,             0.00604,             0.00604,             0.00604
                  42,            0.025966,           0.0078685,            0.013217,              0.9098,             0.68143,             0.73512,             0.56059,             0.05096,           0.0092232,            0.032345,            0.005941,            0.005941,            0.005941
                  43,            0.025192,           0.0071534,            0.011886,             0.85827,             0.70864,             0.73767,             0.58258,            0.051544,           0.0088584,            0.031613,            0.005842,            0.005842,            0.005842
                  44,            0.024684,           0.0070705,            0.012618,             0.88853,             0.68191,             0.70874,             0.49215,             0.05208,           0.0089295,            0.031834,            0.005743,            0.005743,            0.005743
                  45,            0.024685,           0.0074712,            0.010555,             0.89947,             0.69978,             0.73838,             0.53149,            0.052439,           0.0089886,            0.031222,            0.005644,            0.005644,            0.005644
                  46,            0.025438,           0.0072575,            0.010385,             0.89956,             0.69169,             0.73746,               0.527,            0.052587,           0.0089833,             0.03069,            0.005545,            0.005545,            0.005545
                  47,             0.02428,           0.0072178,           0.0093807,             0.88207,              0.6894,             0.73188,             0.52309,             0.05395,           0.0088718,            0.030175,            0.005446,            0.005446,            0.005446
                  48,            0.024617,           0.0069772,           0.0097963,             0.89117,             0.68839,             0.73138,             0.56494,             0.05122,           0.0089256,            0.030857,            0.005347,            0.005347,            0.005347
                  49,            0.023915,           0.0071152,            0.010161,             0.90754,             0.69087,             0.73661,             0.53602,            0.051558,           0.0090483,            0.030909,            0.005248,            0.005248,            0.005248
                  50,            0.023753,           0.0072354,           0.0099191,             0.87619,             0.69225,             0.71802,             0.55679,            0.052384,           0.0089046,            0.030644,            0.005149,            0.005149,            0.005149
                  51,              0.0242,           0.0066751,           0.0076736,             0.93285,             0.69237,             0.74202,             0.55771,            0.055066,           0.0084597,             0.03002,             0.00505,             0.00505,             0.00505
                  52,            0.023442,           0.0073646,            0.008052,             0.92504,             0.69625,             0.74154,             0.57415,            0.054057,           0.0082604,            0.030019,            0.004951,            0.004951,            0.004951
                  53,            0.022984,           0.0068138,            0.008027,             0.93858,             0.69607,              0.7385,             0.52678,            0.056057,            0.008113,            0.030129,            0.004852,            0.004852,            0.004852
                  54,            0.023051,           0.0067634,           0.0066063,             0.92397,             0.69399,             0.73736,             0.52388,            0.054917,              0.0084,            0.030302,            0.004753,            0.004753,            0.004753
                  55,            0.022591,            0.006872,           0.0077424,             0.92799,             0.69401,             0.73813,             0.59174,            0.056698,           0.0081907,            0.030082,            0.004654,            0.004654,            0.004654
                  56,            0.023573,            0.006843,           0.0068833,             0.97587,             0.67301,              0.7372,             0.56738,            0.055139,           0.0081774,            0.028597,            0.004555,            0.004555,            0.004555
                  57,            0.021392,           0.0066011,           0.0076173,             0.93544,             0.69257,             0.73689,              0.5909,            0.054107,           0.0082203,            0.027729,            0.004456,            0.004456,            0.004456
                  58,            0.021357,           0.0067453,           0.0065121,             0.92865,               0.692,             0.72959,             0.57632,            0.052689,           0.0087022,            0.027502,            0.004357,            0.004357,            0.004357
                  59,            0.020759,           0.0067255,            0.006954,             0.95979,             0.67041,             0.72637,             0.58739,            0.051947,           0.0090861,            0.028017,            0.004258,            0.004258,            0.004258
                  60,            0.021296,           0.0065496,           0.0063968,             0.97378,             0.66875,             0.72694,             0.56008,            0.051042,           0.0092148,            0.027723,            0.004159,            0.004159,            0.004159
                  61,             0.02056,           0.0066839,           0.0055959,             0.97975,             0.66958,             0.73028,             0.58244,            0.053085,           0.0090655,            0.027934,             0.00406,             0.00406,             0.00406
                  62,            0.021116,            0.005866,           0.0057406,             0.97629,             0.67063,             0.73083,             0.57094,            0.053833,           0.0088216,            0.028317,            0.003961,            0.003961,            0.003961
                  63,            0.020863,           0.0064204,           0.0064273,             0.97707,             0.67094,              0.7308,             0.56484,            0.053448,           0.0087497,            0.029044,            0.003862,            0.003862,            0.003862
                  64,            0.020581,           0.0064056,            0.005517,             0.98167,             0.67129,             0.73135,             0.60282,            0.052776,           0.0086713,            0.028749,            0.003763,            0.003763,            0.003763
                  65,            0.019546,            0.006706,           0.0052706,             0.98153,             0.67097,              0.7326,             0.58719,            0.052117,           0.0087714,            0.028651,            0.003664,            0.003664,            0.003664
                  66,            0.018399,           0.0066368,           0.0044592,             0.97798,             0.66889,             0.73124,             0.59381,            0.052122,           0.0087716,            0.028772,            0.003565,            0.003565,            0.003565
                  67,            0.018957,            0.006591,           0.0051342,             0.97106,             0.67005,             0.73453,             0.60429,            0.052244,           0.0088211,             0.02874,            0.003466,            0.003466,            0.003466
                  68,            0.018386,           0.0059039,           0.0052693,             0.96979,             0.67333,             0.73432,              0.6009,            0.052348,           0.0086425,            0.028607,            0.003367,            0.003367,            0.003367
                  69,            0.018097,           0.0060169,           0.0046279,             0.94515,             0.69504,             0.73355,             0.58721,            0.052581,           0.0087214,            0.028336,            0.003268,            0.003268,            0.003268
                  70,            0.017826,           0.0063292,           0.0054504,             0.94448,             0.69449,             0.73468,             0.60005,            0.051874,           0.0087116,            0.028442,            0.003169,            0.003169,            0.003169
                  71,            0.017415,           0.0062369,           0.0050895,             0.90599,             0.69626,             0.73292,              0.5741,            0.052001,           0.0089245,            0.028545,             0.00307,             0.00307,             0.00307
                  72,            0.017539,            0.005968,           0.0052015,             0.93564,             0.69557,             0.73388,             0.60812,            0.050715,           0.0087906,            0.028607,            0.002971,            0.002971,            0.002971
                  73,             0.01757,           0.0055567,           0.0051064,             0.93008,             0.69512,             0.73385,             0.59468,            0.050532,            0.008933,            0.028312,            0.002872,            0.002872,            0.002872
                  74,            0.016776,           0.0054778,           0.0058663,             0.93342,             0.69455,             0.73311,             0.59203,            0.051658,           0.0088433,            0.027838,            0.002773,            0.002773,            0.002773
                  75,            0.017216,           0.0055272,           0.0044521,             0.93826,             0.69925,             0.72147,             0.58922,            0.052199,           0.0087097,            0.027556,            0.002674,            0.002674,            0.002674
                  76,            0.017146,           0.0059758,           0.0051435,             0.93752,             0.69898,             0.72916,             0.59909,             0.05285,           0.0087431,            0.027092,            0.002575,            0.002575,            0.002575
                  77,            0.016416,           0.0060487,           0.0059324,             0.93997,             0.69753,             0.73269,             0.62999,            0.051593,           0.0087018,            0.027228,            0.002476,            0.002476,            0.002476
                  78,            0.016087,           0.0056467,           0.0053931,             0.93991,             0.69436,             0.73271,             0.61304,            0.051508,            0.008753,            0.027928,            0.002377,            0.002377,            0.002377
                  79,            0.015772,           0.0055076,           0.0044666,             0.93973,             0.69153,             0.73299,             0.60642,            0.050367,           0.0089197,            0.028294,            0.002278,            0.002278,            0.002278
                  80,             0.01542,           0.0058046,           0.0039754,             0.94515,             0.68692,             0.73468,             0.59672,            0.050597,           0.0088373,            0.028651,            0.002179,            0.002179,            0.002179
                  81,            0.015399,           0.0058807,           0.0036928,             0.94719,             0.68421,              0.7346,             0.60234,            0.050273,           0.0088851,             0.02875,             0.00208,             0.00208,             0.00208
                  82,            0.015343,           0.0060113,           0.0040861,             0.95215,             0.68153,             0.73375,             0.61301,            0.050083,           0.0088988,            0.028805,            0.001981,            0.001981,            0.001981
                  83,             0.01487,           0.0057839,           0.0045488,             0.96827,             0.67337,             0.73391,             0.60952,             0.05075,           0.0087446,            0.028803,            0.001882,            0.001882,            0.001882
                  84,            0.014865,           0.0057994,           0.0033118,             0.96476,             0.67495,             0.73552,             0.60439,            0.050632,           0.0088789,            0.028431,            0.001783,            0.001783,            0.001783
                  85,            0.014205,            0.006006,           0.0035614,             0.95359,             0.68086,             0.73604,             0.60165,              0.0498,           0.0089782,            0.028075,            0.001684,            0.001684,            0.001684
                  86,            0.014056,           0.0053008,           0.0043964,             0.95279,             0.67711,             0.73446,             0.62471,            0.049446,           0.0090311,            0.028265,            0.001585,            0.001585,            0.001585
                  87,            0.014897,           0.0053387,           0.0052555,             0.95706,             0.67408,             0.73303,             0.61303,            0.050061,            0.008919,            0.028444,            0.001486,            0.001486,            0.001486
                  88,            0.013685,           0.0050136,           0.0035739,             0.95814,             0.67454,             0.73446,             0.61871,            0.049599,           0.0088815,            0.028567,            0.001387,            0.001387,            0.001387
                  89,            0.012833,           0.0053587,           0.0037426,             0.96192,             0.67415,             0.73477,             0.62004,            0.049437,            0.009007,            0.028892,            0.001288,            0.001288,            0.001288
                  90,            0.013284,            0.005947,           0.0038375,             0.96238,              0.6743,             0.73557,             0.61464,            0.049528,           0.0089834,            0.028662,            0.001189,            0.001189,            0.001189
                  91,            0.012793,           0.0049819,           0.0034635,               0.967,              0.6747,             0.73776,             0.62816,            0.049871,           0.0089257,            0.028713,             0.00109,             0.00109,             0.00109
                  92,            0.012511,           0.0048766,           0.0035156,             0.96608,             0.67463,              0.7371,             0.62683,            0.049721,           0.0089083,            0.028871,            0.000991,            0.000991,            0.000991
                  93,            0.012941,            0.005596,           0.0034007,             0.96265,             0.67513,             0.73627,             0.62905,            0.049906,           0.0088682,            0.028884,            0.000892,            0.000892,            0.000892
                  94,            0.012934,           0.0054091,           0.0033416,             0.96021,             0.67491,             0.73538,             0.61702,            0.050027,            0.008871,            0.028838,            0.000793,            0.000793,            0.000793
                  95,            0.011848,           0.0050251,           0.0030908,              0.9582,             0.67576,             0.73407,              0.6282,            0.049572,           0.0089503,            0.029189,            0.000694,            0.000694,            0.000694
                  96,            0.012105,           0.0052263,           0.0043713,             0.92513,             0.69563,             0.73338,                0.62,            0.049566,           0.0089855,            0.029231,            0.000595,            0.000595,            0.000595
                  97,            0.012227,           0.0047405,           0.0033005,             0.93069,             0.69297,             0.73394,             0.63091,            0.049588,           0.0089778,            0.029326,            0.000496,            0.000496,            0.000496
                  98,            0.011564,           0.0052864,           0.0027936,             0.93156,              0.6923,             0.73423,             0.62335,            0.049509,           0.0089541,            0.029244,            0.000397,            0.000397,            0.000397
                  99,            0.012403,           0.0055964,           0.0028075,             0.93419,             0.69093,             0.73478,              0.6234,            0.049485,           0.0089652,            0.029102,            0.000298,            0.000298,            0.000298
